2019/2020;40;Si;40;13;;No;Nido d'infanzia;Albero Azzurro;JBJ7CVE37750WBX2;MONFALCONE;via Tagliamento;Attivo;24;34074;Attivo;2.2 Basso Isontino;24|MONFALCONE|via Tagliamento;via Tagliamento 24 MONFALCONE
2019/2020;31;No;31;;;No;Nido d'infanzia;Nido d'Infanzia La Margherita - Flambro;ROQU8YQGRDDWIMW3;TALMASSONS;Via G. B. Comelli - frazione Flambro;Attivo;1;33030;Attivo;4.4 Codroipo;1|TALMASSONS|Via G. B. Comelli - frazione Flambro;Via G. B. Comelli - frazione Flambro 1 TALMASSONS
2019/2020;15;No;8;;;No;Nido d'infanzia;Asilo le coccole;2C1U53X3V3NOM000;PRATA DI PORDENONE;Via Manzoni ;Attivo;7;33080;Attivo;6.3 Azzano Decimo;7|PRATA DI PORDENONE|Via Manzoni ;Via Manzoni  7 PRATA DI PORDENONE
2019/2020;8;No;9;;;No;Servizio integrativo;La tana del ghiro di M. ;3FKAL49TCZHLI3S3;TRIVIGNANO UDINESE;P.za Municipio;Attivo;11;33050;Attivo;5.1 Cervignano;11|TRIVIGNANO UDINESE|P.za Municipio;P.za Municipio 11 TRIVIGNANO UDINESE
2019/2020;20;Si;20;9;;No;Nido d'infanzia;Nido d'infanzia Comunale di Dolina;WMPL83QVI9EF99ZO;SAN DORLIGO DELLA VALLE;Loc. Dolina;Attivo;200;34018;Attivo;1.3 Muggia - San Dorligo;200|SAN DORLIGO DELLA VALLE|Loc. Dolina;Loc. Dolina 200 SAN DORLIGO DELLA VALLE
2019/2020;69;Si;60;3;;No;Nido d'infanzia;"Nido d'infanzia comunale ""Mondo dei Piccoli""";VAO3L94VLCW3Z5NL;CODROIPO;Via Invalidi del lavoro;Attivo;8;33033;Attivo;4.4 Codroipo;8|CODROIPO|Via Invalidi del lavoro;Via Invalidi del lavoro 8 CODROIPO
2019/2020;21;No;18;;;No;Nido d'infanzia;Pre Nursery - Nido;NO3A62OCD2TQD57L;UDINE;Via Martignacco ;Attivo;187;33100;Attivo;4.5 Udine;187|UDINE|Via Martignacco ;Via Martignacco  187 UDINE
2019/2020;22;No;22;;;No;Nido d'infanzia;Asilo Nido Mons. Dino De Carlo;LVI19NCRXQ048QMC;AVIANO;Via della Chiesa ;Attivo;4;33081;Attivo;6.1 Sacile;4|AVIANO|Via della Chiesa ;Via della Chiesa  4 AVIANO
2019/2020;27;Si;29;5;;No;Nido d'infanzia;Asilo Nido Il Girasole;F2ETKODJITM4AM1Z;AVIANO;via Dante Alighieri;Attivo;21;33080;Attivo;6.1 Sacile;21|AVIANO|via Dante Alighieri;via Dante Alighieri 21 AVIANO
2019/2020;32;No;26;;4;Si;Nido d'infanzia;Asilo Piccole Tracce;9IFYYP52121SNKKY;TRIESTE;Via del Ponzanino;Attivo;6/A;34137;Attivo;1.2 Trieste;6/A|TRIESTE|Via del Ponzanino;Via del Ponzanino 6/A TRIESTE
2019/2020;5;No;4;;;No;Servizio integrativo;Nido domiciliare Casa della Felicità;U0O4OE0N0C3D85BO;POLCENIGO;Via Ciasaril,13/a;Attivo;;33070;Attivo;6.1 Sacile;|POLCENIGO|Via Ciasaril,13/a;Via Ciasaril,13/a  POLCENIGO
2019/2020;17;No;14;;2;Si;Nido d'infanzia;Asilo nido Fondazione Casa De Senibus;DNS5UVVKI4ZMAH92;AIELLO DEL FRIULI;Via L. Da Vinci  (Joannis);Attivo;5;33041;Attivo;5.1 Cervignano;5|AIELLO DEL FRIULI|Via L. Da Vinci  (Joannis);Via L. Da Vinci  (Joannis) 5 AIELLO DEL FRIULI
2019/2020;10;No;10;;;No;Nido d'infanzia;"Nido integrato ""Nido dei Sogni""";1BYV2CLUUZZHIWDW;CARLINO;Via Aquileia ;Attivo;15;33050;Attivo;5.2 Latisana;15|CARLINO|Via Aquileia ;Via Aquileia  15 CARLINO
2019/2020;35;No;29;;;No;Nido d'infanzia;"Nido integrato ""Mons. Domenico Cattarossi""";37S5LWCFOERH3EX6;UDINE;Via Stuparich ;Attivo;7/A;33100;Attivo;4.5 Udine;7/A|UDINE|Via Stuparich ;Via Stuparich  7/A UDINE
2019/2020;60;Si;30;4;;No;Nido d'infanzia;"Nido d'infanzia ""Il germoglio""";S0WPRWU79O2UXG3J;CORMONS;via Armistizio;Attivo;11/b;34071;Attivo;2.1 Alto Isontino;11/b|CORMONS|via Armistizio;via Armistizio 11/b CORMONS
2019/2020;23;Si;23;6;3;Si;Nido d'infanzia;Nido d'infanzia Arcobaleno - Cividale;FC9TR0JBM0JAN4XV;CIVIDALE DEL FRIULI;Via del Crognolet;Attivo;21;33043;Attivo;4.3 Cividale;21|CIVIDALE DEL FRIULI|Via del Crognolet;Via del Crognolet 21 CIVIDALE DEL FRIULI
2019/2020;51;No;49;;7;Si;Nido d'infanzia;Nido l'Abbraccio;CZBHILXSSZVPQJIX;SAN VITO AL TAGLIAMENTO;Via Forgaria;Attivo;10;33078;Attivo;6.2 San Vito al Tagliamento;10|SAN VITO AL TAGLIAMENTO|Via Forgaria;Via Forgaria 10 SAN VITO AL TAGLIAMENTO
2019/2020;10;Si;10;0;;No;Nido d'infanzia;Micro Nido - Scuola materna Gesù Bambino;U8N94C7BYV045W9Z;VIVARO;Via Garibaldi ;Attivo;8;33099;Attivo;6.4 Maniago;8|VIVARO|Via Garibaldi ;Via Garibaldi  8 VIVARO
2019/2020;24;Si;24;9;;No;Nido d'infanzia;"Nido d'infanzia ""il giardino dei piccoli""";6AECIW1Y99SYOZ5C;ROMANS D'ISONZO;via De' Claricini;Attivo;15;34076;Attivo;2.1 Alto Isontino;15|ROMANS D'ISONZO|via De' Claricini;via De' Claricini 15 ROMANS D'ISONZO
2019/2020;25;No;23;;;No;Servizio integrativo;"Centro bambini e genitori ""Dimensione Zerotre""";0WMKGV1539HTI9RA;CORMONS;via Armistizio 11/b;Attivo;;34071;Attivo;2.1 Alto Isontino;|CORMONS|via Armistizio 11/b;via Armistizio 11/b  CORMONS
