CODICE_STRUTTURA;INDIRIZZO_FORMATTATO;LAT;LON
UKYNK6EJW4OVGMBF;Via Federico Raffin, 1, 33084 Musil PN, Italy;45.968422;12.691291;
DZPUOCM4M1VH2UFG;33072 Casarsa della Delizia, Province of Pordenone, Italy;45.95734;12.842406;
HEVEJEA1Z6T2UKT3;Via Armando Diaz, 1, 33019 Tricesimo UD, Italy;46.161064;13.212772;
Z0HFKRE3NX8F3DCA;Via Ovidio, 4, 34134 Trieste TS, Italy;45.66343;13.777539;
2W8IKH7YO761N8OG;Via Monte S. Marco, 33100 Udine UD, Italy;46.075935;13.243041;
EQG7PHTCYWBS0QXJ;33043 Cividale del Friuli, Province of Udine, Italy;46.080143;13.433127;
YKGIF2AMKD8CTQML;Via Maestri del Lavoro, 12, 34123 Trieste TS, Italy;45.641052;13.760407;
S03Q0W7VTWSGJTHN;Via Alpe Adria, 33010 Tavagnacco UD, Italy;46.110588;13.215504;
JOSFARU89KOL08SX;Via Callisto Cosulich, 43, 34074 Monfalcone GO, Italy;45.80349;13.528122;
POVTN809JDPYBQMY;Via Tagliamento, 24, 34074 Monfalcone GO, Italy;45.803303;13.522274;
8RHIN2RI0R8TWXUI;Via Callisto Cosulich, 43, 34074 Monfalcone GO, Italy;45.80349;13.528122;
4CVED8QVLPTE73MW;Via Tagliamento, 24, 34074 Monfalcone GO, Italy;45.803303;13.522274;
PZAKQZ2BWUGB4R7D;Vicolo dei Nigris, 5, 33034 Fagagna UD, Italy;46.1125;13.085653;
YC4Q0DWRBTQ9W0IC;Riva Tommaso Gulli, 1, 34123 Trieste TS, Italy;45.64716;13.761188;
2ZJFN285K1OMQRJS;Riva Tommaso Gulli, 1, 34123 Trieste TS, Italy;45.64716;13.761188;
Q8L80WSCSRFI79SD;UTI Giuliana, Italy;45.689484;13.783307;
YLPIA1UUVG52CZ0H;Via Lauzacco, 33100 Udine UD, Italy;46.04345;13.257048;
EJOGA0YUXL6POG05;Via Pasquale Besenghi, 27, 34144 Trieste TS, Italy;45.643135;13.772578;
OOSD1GD8LIUXYS2A;Via Fontana, 33022 Arta Terme UD, Italy;46.472885;13.025712;
1Z4HGGI27XUAV2Z6;Via San Simone, 2, 33080 Prata di Pordenone PN, Italy;45.902355;12.600789;
003MKX1Z3MYIQ0DQ;Via Monte Ortigara, 33100 Udine UD, Italy;46.077362;13.237324;
IMMY92HG3PY4JA79;Via Correr, 67, 33080 Porcia PN, Italy;45.959614;12.626364;
DHDQN700XXXA1F8U;Via Vittorio Veneto, 46, 33018 Tarvisio UD, Italy;46.50463;13.574443;
O6541T1AZ8P52IF3;34078 Sagrado, Province of Gorizia, Italy;45.877735;13.485525;
KZ8TJMJXCYEOU6XV;Vicolo di Sopra, 11, 33055 Muzzana del Turgnano UD, Italy;45.81679;13.128262;
4D2ZQNVYYOWPHGI9;Via Trieste, 39, 33050 Torsa UD, Italy;45.875584;13.119516;
075L178P0LYB8L8W;Via Ugo Foscolo, 3, 33050 Marano Lagunare UD, Italy;45.765003;13.167882;
1AI30O9CN7LB3X4K;Via Daniele Manin, 33, 33053 Latisana UD, Italy;45.747665;13.018767;
0C38KBRJKTQ6ETT4;Via delle Aiuole, 4, 34142 Trieste TS, Italy;45.645676;13.789724;
RPNGJZBETSBB5SH4;33070 Tamai, Province of Pordenone, Italy;45.92415;12.577822;
FANFH6XE2NO6NCU8;33075 Cordovado, Province of Pordenone, Italy;45.845257;12.880459;
XOCJMHXAWPV7KP97;Via Bonomea, 265, 34151 Trieste TS, Italy;45.680397;13.773401;
4XF6H8Z5J0TOUITA;Via Mantova, 33100 Udine UD, Italy;46.07684;13.213212;
VNWW9CTZH5U6GZZ0;Via Florio, 2, 33010 Feletto Umberto UD, Italy;46.110466;13.239894;
UHFYBDB2GKTHIDX0;;null;null;
S9W03ZRZZWMM5N16;Corso Giuseppe Verdi, 16, 34170 Gorizia GO, Italy;45.946594;13.62329;
UW5Z0B22V13N915D;Via delle Monache, 3, 34121 Trieste TS, Italy;45.64774;13.770288;
V8R6KGPQSLHEN10U;Via Gois, 5, 33013 Gemona UD, Italy;46.28601;13.132082;
TNVF2QCUR02IC6WW;Calle del Carbon, 2, 33080 Porcia PN, Italy;45.959133;12.614875;
AG0KCX2ODHGU5ZPM;Via V. Favetti, 33080 Zoppola PN, Italy;45.972305;12.804545;
UW8EHW3Q1A842G8C;Via del Pasubio, 8, 34170 Gorizia GO, Italy;45.92918;13.607504;
ZWKE8DPEFBT61P2B;Via Basiliano, 39/2, 33100 Udine UD, Italy;46.043022;13.214705;
ABHDFTQLET6SJQKF;33040 Povoletto, Province of Udine, Italy;46.118187;13.298146;
U4CJU874GJLMHIWI;Via Santa Margherita, 33070 Brugnera PN, Italy;45.923244;12.565611;
Z8Q1R1KP9MMO9A39;Località Mattonaia, 464, 34018 Domio TS, Italy;45.603813;13.838296;
XGK0W5U3UO2TOTOE;Via S. Giuliano, 3, 33054 Lignano Sabbiadoro UD, Italy;45.67388;13.102874;
C800A3AVL6GVTB5F;Via S. Giuliano, 3, 33054 Lignano Sabbiadoro UD, Italy;45.67388;13.102874;
LKWBTGWU09UP9BU8;Friuli-Venezia Giulia, Italy;46.225918;13.103365;
7PIS7VHCQO3KSETU;34070 Turriaco, Province of Gorizia, Italy;45.82117;13.444758;
M27LK6Z16NK1QIWM;Via Ippolito Nievo, 33013 Gemona UD, Italy;46.296043;13.11706;
ILP1WD7W9D9CW7TG;Via Dario Chiaradia, 11, 33077 Sacile PN, Italy;45.95372;12.488466;
OQ43OFZLB95XA2S8;Via Sabotino, 2, 33100 Udine UD, Italy;46.05798;13.2218;
6BK4A17I1JYVK6EJ;Via Forte, 32, 33050 Pertegada UD, Italy;45.71894;13.042382;
CF4B96X5KX5XKHEP;Via Plaino, Martignacco UD, Italy;46.105694;13.166917;
3NN5WQO846L06NQG;Via Filippo Corridoni, 5, 33050 Castions delle Mura UD, Italy;45.842712;13.300977;
ICH3KW8AJGEPCY58;Fauglis, 33050 Gonars UD, Italy;45.89006;13.256539;
RNTKFXMLJFZNHKWG;Via Asilo di Rorai, 11, 33170 Pordenone PN, Italy;45.965054;12.63555;
ZV8ZYQCM44NJ9818;salita Colle Baldo, 13, 33030 Buia UD, Italy;46.20648;13.127505;
ONJAUW21FYMS4U7Q;Via Dario Chiaradia, 11, 33077 Sacile PN, Italy;45.95372;12.488466;
QRVWCWXF4I96ZULP;Via de Zan, Aviano PN, Italy;46.067467;12.60185;
25OO7XDWPDW2M2KU;Via Latisana, 2/A, 33030 Varmo UD, Italy;45.887028;12.989627;
LBVGYVLF8IDFHRB7;Viale Treviso, 4, 33170 Pordenone PN, Italy;45.941204;12.651595;
8IABAVOS6PBKWT94;Port of Trieste, 34123 Trieste, UTI Giuliana, Italy;45.646507;13.761921;
RVC580DCQK86M9PC;Viale XXV Aprile, 1, 34015 Muggia TS, Italy;45.601807;13.768451;
NIG1F6ANW5C41O5V;34015 Muggia, UTI Giuliana, Italy;45.603153;13.766797;
7OLRZTM7P8FEUZ6S;Via della Roggia, 48, 33100 Udine UD, Italy;46.05446;13.224187;
PTP0MLL3UVQSEJCK;Via Monte Cavallo, 3, 33170 Pordenone PN, Italy;45.946262;12.657231;
O49GDQI6S6QOAK7D;Via Villa, 15, 33011 Artegna UD, Italy;46.242485;13.154142;
BVHBUC6JMKJJ37P7;Piazza IV Novembre, 33083 Taiedo PN, Italy;45.8898;12.777114;
2U11PY5QCI5CZGA1;33100 Udine, Province of Udine, Italy;46.071068;13.234579;
1I9BMRSGMLVENA1N;Via Carlo Collodi, 8, 34079 Staranzano GO, Italy;45.794308;13.511445;
503P0U1683DXWCNL;Via Rialto, 1, 33100 Udine UD, Italy;46.063267;13.235325;
KGZ1UBVVCZJMN856;33010 Pagnacco, Province of Udine, Italy;46.1244;13.186539;
W73W6MI4ZCQFZUX7;Viale Armando Dìaz, 20, 33100 Udine UD, Italy;46.069874;13.239148;
7KUXP1HDATEZFG68;Via Edgardo Morpurgo, 7/2, 34147 Trieste TS, Italy;45.614223;13.825276;
4JVM3BXH4ZQW9DI3;Via Edgardo Morpurgo, 7/2, 34147 Trieste TS, Italy;45.614223;13.825276;
ZGMDTWJSBB1P1ERH;Via Alba, 27, 33100 Udine UD, Italy;46.087215;13.241935;
X4C3JIDVVPQWRMTT;Via Alba, 27, 33100 Udine UD, Italy;46.087215;13.241935;
150KSEZ1LZB32KHO;Via Antonio Zanon, 13, 33100 Udine UD, Italy;46.062843;13.232445;
5DQGNPT8AD2377HD;Via degli Scogli, 49, 34170 Gorizia GO, Italy;45.96376;13.625511;
ZHBSGYI97SAZE0X3;;null;null;
HM71PX5GSVAYVRAA;Via Nazionale, 2, 34070 San Lorenzo Isontino GO, Italy;45.93318;13.530383;
OCS66PC75R9CE12X;Via Padre Luigi Scrosoppi, 33100 Udine UD, Italy;46.063942;13.242402;
FBS20W2SJQRQ6TZD;Via Santa Caterina, 5, 33080 Fiume Veneto PN, Italy;45.935925;12.740392;
N6GF6Y40B32IL101;Borgo S. Mauro, 124, 34011 Sistiana TS, Italy;45.765743;13.641303;
B97U3W3WYR7VCIFW;;null;null;
XJ3I9940RP6N4VWB;Via XXIV Maggio, 33010 Reana del Rojale UD, Italy;46.14796;13.23426;
8ONY23LXDY9FXGH4;Via Generale Antonio Cantore, 9, 33170 Pordenone PN, Italy;45.968575;12.6768465;
UHDC57UYU46C6040;Via Albona, 18, 33100 Udine UD, Italy;46.068645;13.248098;
1Z8OIEIUVT4O24AT;33070 Caneva, Province of Pordenone, Italy;45.968124;12.448013;
PEAF6QLH3PSVOPKX;Piazza Maggiore, 40124 Bologna BO, Italy;44.493755;11.343095;
D3VSHE1U9WJ1VNKD;33044 Manzano, Friuli, Province of Udine, Italy;45.988842;13.376344;
JTYBBX0EWHXRXY97;Via Odorico Odorico, 54, 33090 Sequals PN, Italy;46.158722;12.823922;
D5URE0RJNA560MYI;Via Giosuè Carducci, 17, 33080 Roveredo in Piano PN, Italy;46.009007;12.617354;
9SRZQZBMFYJK3WRS;Via Cesare Battisti, 25, 34125 Trieste TS, Italy;45.65274;13.780794;
0V9VC1N4ZE7QDYU0;Via Lavariano, 33100 Udine UD, Italy;46.04168;13.253656;
VK7RNPQR1T20QVL4;Via Divisione Julia, 27, 33040 Povoletto UD, Italy;46.120697;13.302224;
NMYMPHIQ6TFDRHXN;Via Nazionale, 41, 33042 Buttrio UD, Italy;46.005135;13.338778;
KH180UUCEW4CUU7C;Via Antonio Pacinotti, 7, 34077 Ronchi dei Legionari GO, Italy;45.829384;13.511082;
D1D9ZQ4FYPQCQWIU;Via dell'Istria, 61, 34144 Trieste TS, Italy;45.636585;13.78532;
E7FZKRRVCLX7SNKX;Via del Molino, 93, 33030 Campoformido UD, Italy;46.02531;13.209089;
A5TVFWPVXPW23F4C;Piazza del Popolo, 38, 33078 San Vito al Tagliamento PN, Italy;45.915306;12.855224;
45UPNRL8H0RU7Y5U;Viale Venezia, 79, 33072 Casarsa della Delizia PN, Italy;45.95715;12.834951;
91QCB3QXBXDOZZPW;Via delle Scuole, 33100 Udine UD, Italy;46.083668;13.200833;
6BZ842ED0OAP1D5D;Via Volturno, 33100 Udine UD, Italy;46.05658;13.226105;
KFWS74V8D2UYFC83;33050 Pavia di Udine, Province of Udine, Italy;45.996284;13.302527;
BUEZ4ULBMADNQ25X;Viale Armando Dìaz, 14, 33100 Udine UD, Italy;46.06978;13.238364;
HG3G4LJD6LR6N7ER;Via Caprera, 28, 33100 Udine UD, Italy;46.063145;13.222676;
5UUXB192O0G46UAK;Via Domenico Casco, 1, 33035 Martignacco UD, Italy;46.093735;13.13348;
H2HHQ491PNNQ5DFL;Località Sistiana, 18, 34011 Sistiana TS, Italy;45.773243;13.628192;
A6E2S5ZWM73B863Y;Via Virgilio, 33085 Maniago PN, Italy;46.166485;12.705468;
BK9PJ2HO9XKKW1ER;Via Monte Nero, 33097 Gradisca PN, Italy;46.07454;12.899201;
VJ73NW0DWJ9QJ2GA;Via XXIV Maggio, 1, 33040 Tapogliano UD, Italy;45.87672;13.40003;
V75AXZGIPNKUEBCH;Via Prasecco, 33170 Pordenone PN, Italy;45.95356;12.685637;
422MKQ5NTZ1IKD72;33043 Cividale del Friuli, Province of Udine, Italy;46.080143;13.433127;
AB12V6WAMZZIDDX5;Via Principale, Provincia di Udine, Italy;46.119076;13.049326;
K2YUYQO4DOAMN92K;Via Vittorio Veneto, 7, 34170 Gorizia GO, Italy;45.93915;13.622368;
H6JA90IHL24VVHPX;Via Barco, 33076 Frattina PN, Italy;45.81321;12.681345;
WLY2ZSBYZA4RF35U;Via Enrico Rocca, 5, 34170 Gorizia GO, Italy;45.957684;13.631007;
3HVIRNTDGG6P6JJ0;Via Casali, 1/A, 33079 Ramuscello PN, Italy;45.877148;12.888978;
53OC4NM6QRHAA7KM;Via Virgilio, 34170 Gorizia GO, Italy;45.94584;13.612206;
I28TG1VP16UH80L0;Via Cotonificio, 3, 33170 Pordenone PN, Italy;45.96065;12.63909;
9268VV1NQV6GSL8S;Via S. Francesco D'Assisi, 22, 34133 Trieste TS, Italy;45.653404;13.779464;
7QV5VYJD87R67G3M;Via Duino, 8, 33100 Udine UD, Italy;46.069016;13.24568;
LOAIKBWX70ODNGL5;Via Felice Venezian, 18, 34124 Trieste TS, Italy;45.647526;13.767007;
F7RVIPGKP7DLJ346;Via Sopramonte, 89, 33030 Buia UD, Italy;46.225445;13.110473;
E1GIGU1K0M3VNSH2;Frazione Prato, 1, 33020 Prato Carnico UD, Italy;46.520103;12.809026;
RAQPEQ81PQQWTNDE;Via Trieste, 173, 34170 Gorizia GO, Italy;45.928886;13.613544;
604SWU4TT3687EGY;Via del Pasubio, 8, 34170 Gorizia GO, Italy;45.92918;13.607504;
S50F02YJO7MOCG7N;Via Zorutti, 96H, 34070 Capriva del Friuli GO, Italy;45.94523;13.520951;
UMZTHSFRG5BYGLJO;Via S. Leonardo, 11, 33011 Artegna UD, Italy;46.240803;13.145053;
1ODX1OSYHDEQC4P0;Via XXIV Maggio, 7, 33057 Jalmicco UD, Italy;45.911602;13.34623;
QNN5XL2HCZZMXSWT;33070 Caneva, Province of Pordenone, Italy;45.968124;12.448013;
CBMC5N8ZXU2HDFGK;Via Auronzo, 33170 Pordenone PN, Italy;45.96794;12.637886;
FAVEZKXYTZH4QP3A;Via Tiro a Segno, 16, 33170 Pordenone PN, Italy;45.976814;12.644746;
3TOCZH3GQ680V8MF;Via Rinascita, 6, 33092 Cavasso Nuovo PN, Italy;46.19563;12.772367;
